Sprint,Phase,ID_Tache,Tache,Branche_Git,Priorite,Description,Type,Livrable,Date_Debut,Date_Fin,Duree_Jours,Dependances,Statut,Responsable,Notes
6,Heures Sup,6.6,Dashboard préalable collab,feature/dashboard-hs-prealable-collab,P1,Vue collaborateur - Demandes préalables - Statuts,UI,"✅ Dashboard préalable collaborateur opérationnel",Jour 12,Jour 16,5,6.2-6.5,A faire,,Vue consolidée
7,Heures Sup,7.1,Table heures_sup_realisation,feature/table-hs-realisation,P0,Création table avec tous champs - Lien préalable - Pointages,Database,"✅ Table heures_sup_realisation créée",Jour 1,Jour 3,3,6.1,A faire,,Tous champs identifiés
7,Heures Sup,7.2,Lien préalable ↔ réalisation,feature/lien-prealable-realisation,P0,FK explicite - Logique de lien - Sélection préalable,Development,"✅ Lien préalable-réalisation fonctionnel",Jour 4,Jour 7,4,7.1-6.4,A faire,,FK + interface
7,Heures Sup,7.3,Formulaire réalisation,feature/hs-realisation-formulaire,P0,Screen saisie réalisation - Tous champs - Interface complète,Development,"✅ Formulaire réalisation opérationnel",Jour 6,Jour 10,5,7.1,A faire,,Saisie détaillée
7,Heures Sup,7.4,Saisie heures détaillées,feature/saisie-heures-detaillees,P0,Interface saisie par jour - Horaires début/fin - Calcul auto,UI,"✅ Interface saisie heures détaillées opérationnelle",Jour 8,Jour 12,5,7.3,A faire,,Saisie par jour
7,Heures Sup,7.5,Pointages GTA,feature/pointages-gta,P0,Intégration/saisie pointages GTA - Réconciliation - Import possible,Integration,"✅ Pointages GTA gérés",Jour 10,Jour 14,5,7.3,A faire,,Intégration GTA
7,Heures Sup,7.6,Calcul écarts,feature/calcul-ecarts-prealable,P0,Calcul auto écarts vs préalable - Justification si écart - Affichage,Development,"✅ Calcul écarts fonctionnel",Jour 12,Jour 16,5,7.2-7.4,A faire,,Comparaison automatique
8,Heures Sup,8.1,Workflow réalisation,feature/workflow-hs-realisation,P0,Workflow Manager → RH → Pointage RH - 6 étapes complètes,Development,"✅ Workflow réalisation complet (6 étapes)",Jour 1,Jour 5,5,7.3,A faire,,Workflow complet
8,Heures Sup,8.2,Validation Manager réalisation,feature/validation-manager-hs-real,P0,Validation Manager - Vérifications - Cohérence pointages,Development,"✅ Validation Manager réalisation fonctionnelle",Jour 4,Jour 8,5,8.1,A faire,,Vérifications spécifiques
8,Heures Sup,8.3,Validation RH réalisation,feature/validation-rh-hs-real,P0,Validation RH - Conformité réglementaire - Analyse globale,Development,"✅ Validation RH réalisation fonctionnelle",Jour 6,Jour 10,5,8.2,A faire,,Contrôle RH
8,Heures Sup,8.4,Pointage RH,feature/pointage-rh,P0,Interface pointage RH final - Réconciliation - Commentaires,UI,"✅ Interface pointage RH opérationnelle",Jour 8,Jour 12,5,8.3,A faire,,Étape finale avant paiement
8,Heures Sup,8.5,Réconciliation GTA,feature/reconciliation-gta,P0,Réconciliation pointages officiels - Validation GTA - Données officielles,Integration,"✅ Réconciliation GTA fonctionnelle",Jour 10,Jour 14,5,8.4,A faire,,Intégration GTA
8,Heures Sup,8.6,Cas sans préalable,feature/hs-sans-prealable,P1,Gestion cas exceptionnel - Motif urgence - Validation renforcée,Development,"✅ Cas sans préalable géré",Jour 12,Jour 16,5,8.1,A faire,,Cas exceptionnel
8,Heures Sup,8.7,Dashboard réalisation,feature/dashboard-hs-realisation,P1,Dashboards complets - Collab - Manager - RH,UI,"✅ Dashboards réalisation opérationnels",Jour 14,Jour 18,5,8.1-8.6,A faire,,Tous dashboards
8,Heures Sup,8.8,Release v1.1.0-heures-sup,release/v1.1.0-heures-sup,P0,Finalisation - Tests - Documentation - Tag release,Release,"✅ Release v1.1.0 taggée
✅ Documentation complète",Jour 19,Jour 24,6,8.1-8.7,A faire,,Deuxième release
9,Transversal,9.1,Centre notifications,feature/centre-notifications,P0,Interface notifications complète - Liste - Filtres - Actions,UI,"✅ Centre notifications opérationnel",Jour 1,Jour 5,5,2.4,A faire,,Interface complète
9,Transversal,9.2,Notifications workflow,feature/notifications-workflow,P0,Notifications automatiques workflow - Par étape - Par rôle,Development,"✅ Notifications workflow fonctionnelles",Jour 4,Jour 8,5,9.1-2.3,A faire,,Automatisation
9,Transversal,9.3,Préférences notifications,feature/preferences-notifications,P1,Configuration utilisateur - Types - Fréquences - Canaux,Development,"✅ Préférences notifications opérationnelles",Jour 7,Jour 10,4,9.1,A faire,,Personnalisation
9,Transversal,9.4,Recherche globale,feature/recherche-globale,P0,Recherche agents - Demandes - Formulaires - Autosuggest,Development,"✅ Recherche globale opérationnelle",Jour 9,Jour 14,6,,A faire,,Recherche unifiée
9,Transversal,9.5,Filtres avancés,feature/filtres-avances,P1,Filtres par statut - Dates - Types - Agents - Export,UI,"✅ Filtres avancés opérationnels",Jour 12,Jour 16,5,9.4,A faire,,Filtrage puissant
10,Transversal,10.1,Dossier agent vue,feature/dossier-agent-vue,P0,Table vue consolidée - Calculs - KPIs - Statistiques,Database,"✅ Table dossier_agent_vue créée",Jour 1,Jour 3,3,2.1,A faire,,Vue matérialisée
10,Transversal,10.2,Interface dossier agent,feature/dossier-agent-ui,P0,Screen dossier agent - Historique - Demandes - Documents,UI,"✅ Interface dossier agent opérationnelle",Jour 4,Jour 8,5,10.1,A faire,,Vue consolidée
10,Transversal,10.3,Historique complet,feature/historique-complet,P0,Visualisation historique demandes - Timeline - Actions - Acteurs,UI,"✅ Historique complet opérationnel",Jour 6,Jour 10,5,10.2,A faire,,Traçabilité complète
10,Transversal,10.4,Favoris,feature/favoris,P1,Système favoris formulaires/apps - Ajout - Organisation - Accès rapide,Development,"✅ Système favoris opérationnel",Jour 9,Jour 12,4,,A faire,,Personnalisation
10,Transversal,10.5,Export PDF/Excel,feature/export-donnees,P1,Export dossiers - Tableaux - Formats multiples - Génération,Development,"✅ Export PDF/Excel opérationnel",Jour 11,Jour 14,4,10.2,A faire,,Export données
10,Transversal,10.6,Release v1.2.0-transversal,release/v1.2.0-transversal,P0,Finalisation - Tests - Documentation - Tag release,Release,"✅ Release v1.2.0 taggée
✅ Documentation complète",Jour 15,Jour 20,6,10.1-10.5,A faire,,Troisième release
11,Applications,11.1,Catalogue apps externes,feature/apps-externes-catalogue,P1,Gestion catalogue apps - CRUD - Métadonnées - Tags,Development,"✅ Catalogue apps externes opérationnel",Jour 1,Jour 5,5,,A faire,,Gestion catalogue
11,Applications,11.2,Intégration O'Buro,feature/app-oburo,P1,Intégration O'Buro - Lien - Badge état - Métadonnées,Integration,"✅ Intégration O'Buro opérationnelle",Jour 4,Jour 8,5,11.1,A faire,,Première app externe
11,Applications,11.3,Intégration autres apps,feature/apps-autres,P2,ODAM - Reporting - SecurSafe - Intégrations,Integration,"✅ Autres apps intégrées",Jour 7,Jour 12,6,11.2,A faire,,Apps prioritaires
11,Applications,11.4,Suivi usage apps,feature/suivi-usage-apps,P2,Statistiques usage - Derniers utilisés - Analytics,Analytics,"✅ Suivi usage apps opérationnel",Jour 11,Jour 14,4,11.1,A faire,,Analytics
12,Finalisation,12.1,Optimisations performance,feature/optimisations,P1,Optimisations requêtes - Cache - Index - Performance,Optimization,"✅ Optimisations appliquées
✅ Performance améliorée",Jour 1,Jour 5,5,,A faire,,Performance critique
12,Finalisation,12.2,Tests E2E,feature/tests-e2e,P1,Tests end-to-end complets - Parcours utilisateurs - Scénarios,Testing,"✅ Tests E2E complets
✅ Tous scénarios couverts",Jour 4,Jour 10,7,,A faire,,Tests complets
12,Finalisation,12.3,Documentation utilisateur,feature/doc-utilisateur,P1,Guides utilisateur - Aide contextuelle - Tutoriels - FAQ,Documentation,"✅ Documentation utilisateur complète",Jour 8,Jour 12,5,,A faire,,Guides complets
12,Finalisation,12.4,Documentation technique,feature/doc-technique,P1,Documentation développeur - Architecture - APIs - Déploiement,Documentation,"✅ Documentation technique complète",Jour 10,Jour 14,5,,A faire,,Doc technique
12,Finalisation,12.5,Formation équipe,feature/formation,P1,Sessions formation - Utilisateurs - Administrateurs - Support,Formation,"✅ Formation équipe effectuée",Jour 13,Jour 16,4,,A faire,,Formation complète
12,Finalisation,12.6,Release v1.3.0-mvp,release/v1.3.0-mvp,P0,Finalisation MVP - Tests complets - Documentation finale - Tag release,Release,"✅ Release v1.3.0 taggée
✅ MVP complet",Jour 17,Jour 24,8,12.1-12.5,A faire,,Release finale MVP

